year;dow;date;days;dateEnd;woj;newc;newd
2020;25;2020-06-22;7;2020-06-28;wielkopolskie;157;5
2020;25;2020-06-22;7;2020-06-28;zachodniopomorskie;12;0
2020;25;2020-06-22;7;2020-06-28;łódzkie;256;21
2020;25;2020-06-22;7;2020-06-28;śląskie;699;31
2020;25;2020-06-22;7;2020-06-28;świętokrzyskie;72;6
2020;26;2020-06-29;7;2020-07-05;Polska;2043;79
2020;26;2020-06-29;7;2020-07-05;dolnośląskie;26;10
2020;26;2020-06-29;7;2020-07-05;kujawsko-pomorskie;12;0
2020;26;2020-06-29;7;2020-07-05;lubelskie;50;1
2020;26;2020-06-29;7;2020-07-05;lubuskie;2;0
2020;26;2020-06-29;7;2020-07-05;mazowieckie;194;20
2020;26;2020-06-29;7;2020-07-05;małopolskie;166;0
2020;26;2020-06-29;7;2020-07-05;opolskie;40;0
2020;26;2020-06-29;7;2020-07-05;podkarpackie;126;2
2020;26;2020-06-29;7;2020-07-05;podlaskie;70;2
2020;26;2020-06-29;7;2020-07-05;pomorskie;30;0
2020;26;2020-06-29;7;2020-07-05;warmińsko-mazurskie;32;0
2020;26;2020-06-29;7;2020-07-05;wielkopolskie;330;3
2020;26;2020-06-29;7;2020-07-05;zachodniopomorskie;12;2
2020;26;2020-06-29;7;2020-07-05;łódzkie;161;15
2020;26;2020-06-29;7;2020-07-05;śląskie;739;22
2020;26;2020-06-29;7;2020-07-05;świętokrzyskie;53;2
2020;27;2020-07-06;7;2020-07-12;Polska;1941;54
2020;27;2020-07-06;7;2020-07-12;dolnośląskie;38;1
2020;27;2020-07-06;7;2020-07-12;kujawsko-pomorskie;15;0
2020;27;2020-07-06;7;2020-07-12;lubelskie;122;2
2020;27;2020-07-06;7;2020-07-12;lubuskie;83;0
2020;27;2020-07-06;7;2020-07-12;mazowieckie;208;6
2020;27;2020-07-06;7;2020-07-12;małopolskie;197;1
2020;27;2020-07-06;7;2020-07-12;opolskie;37;2
2020;27;2020-07-06;7;2020-07-12;podkarpackie;135;3
2020;27;2020-07-06;7;2020-07-12;podlaskie;26;4
2020;27;2020-07-06;7;2020-07-12;pomorskie;24;0
2020;27;2020-07-06;7;2020-07-12;warmińsko-mazurskie;10;0
2020;27;2020-07-06;7;2020-07-12;wielkopolskie;288;7
2020;27;2020-07-06;7;2020-07-12;zachodniopomorskie;14;1
2020;27;2020-07-06;7;2020-07-12;łódzkie;173;11
2020;27;2020-07-06;7;2020-07-12;śląskie;542;15
2020;27;2020-07-06;7;2020-07-12;świętokrzyskie;29;1
2020;28;2020-07-13;7;2020-07-19;Polska;2213;53
2020;28;2020-07-13;7;2020-07-19;dolnośląskie;77;2
2020;28;2020-07-13;7;2020-07-19;kujawsko-pomorskie;24;0
2020;28;2020-07-13;7;2020-07-19;lubelskie;68;0
2020;28;2020-07-13;7;2020-07-19;lubuskie;75;1
2020;28;2020-07-13;7;2020-07-19;mazowieckie;273;13
2020;28;2020-07-13;7;2020-07-19;małopolskie;446;2
2020;28;2020-07-13;7;2020-07-19;opolskie;27;1
2020;28;2020-07-13;7;2020-07-19;podkarpackie;179;1
2020;28;2020-07-13;7;2020-07-19;podlaskie;9;0
2020;28;2020-07-13;7;2020-07-19;pomorskie;34;1
2020;28;2020-07-13;7;2020-07-19;warmińsko-mazurskie;12;0
2020;28;2020-07-13;7;2020-07-19;wielkopolskie;189;5
2020;28;2020-07-13;7;2020-07-19;zachodniopomorskie;21;0
2020;28;2020-07-13;7;2020-07-19;łódzkie;194;5
2020;28;2020-07-13;7;2020-07-19;śląskie;558;18
2020;28;2020-07-13;7;2020-07-19;świętokrzyskie;27;4
2020;29;2020-07-20;7;2020-07-26;Polska;2961;47
2020;29;2020-07-20;7;2020-07-26;dolnośląskie;110;0
2020;29;2020-07-20;7;2020-07-26;kujawsko-pomorskie;29;1
2020;29;2020-07-20;7;2020-07-26;lubelskie;42;0
2020;29;2020-07-20;7;2020-07-26;lubuskie;53;6
2020;29;2020-07-20;7;2020-07-26;mazowieckie;411;6
2020;29;2020-07-20;7;2020-07-26;małopolskie;577;5
2020;29;2020-07-20;7;2020-07-26;opolskie;93;0
2020;29;2020-07-20;7;2020-07-26;podkarpackie;107;2
2020;29;2020-07-20;7;2020-07-26;podlaskie;29;2
2020;29;2020-07-20;7;2020-07-26;pomorskie;84;0
2020;29;2020-07-20;7;2020-07-26;warmińsko-mazurskie;44;1
2020;29;2020-07-20;7;2020-07-26;wielkopolskie;165;3
2020;29;2020-07-20;7;2020-07-26;zachodniopomorskie;39;0
2020;29;2020-07-20;7;2020-07-26;łódzkie;192;11
2020;29;2020-07-20;7;2020-07-26;śląskie;923;10
2020;29;2020-07-20;7;2020-07-26;świętokrzyskie;63;0
2020;30;2020-07-27;7;2020-08-02;Polska;3829;60
2020;30;2020-07-27;7;2020-08-02;dolnośląskie;128;3
2020;30;2020-07-27;7;2020-08-02;kujawsko-pomorskie;61;0
2020;30;2020-07-27;7;2020-08-02;lubelskie;77;1
2020;30;2020-07-27;7;2020-08-02;lubuskie;57;3
2020;30;2020-07-27;7;2020-08-02;mazowieckie;493;6
2020;30;2020-07-27;7;2020-08-02;małopolskie;697;18
2020;30;2020-07-27;7;2020-08-02;opolskie;75;3
2020;30;2020-07-27;7;2020-08-02;podkarpackie;170;2
2020;30;2020-07-27;7;2020-08-02;podlaskie;48;3
2020;30;2020-07-27;7;2020-08-02;pomorskie;114;0
2020;30;2020-07-27;7;2020-08-02;warmińsko-mazurskie;46;0
2020;30;2020-07-27;7;2020-08-02;wielkopolskie;268;6
2020;30;2020-07-27;7;2020-08-02;zachodniopomorskie;51;0
2020;30;2020-07-27;7;2020-08-02;łódzkie;229;4
2020;30;2020-07-27;7;2020-08-02;śląskie;1286;11
2020;30;2020-07-27;7;2020-08-02;świętokrzyskie;29;0
2020;31;2020-08-03;7;2020-08-09;Polska;4897;76
2020;31;2020-08-03;7;2020-08-09;dolnośląskie;194;3
2020;31;2020-08-03;7;2020-08-09;kujawsko-pomorskie;65;0
2020;31;2020-08-03;7;2020-08-09;lubelskie;112;0
2020;31;2020-08-03;7;2020-08-09;lubuskie;105;2
2020;31;2020-08-03;7;2020-08-09;mazowieckie;640;12
2020;31;2020-08-03;7;2020-08-09;małopolskie;750;11
2020;31;2020-08-03;7;2020-08-09;opolskie;112;1
2020;31;2020-08-03;7;2020-08-09;podkarpackie;255;9
2020;31;2020-08-03;7;2020-08-09;podlaskie;75;3
2020;31;2020-08-03;7;2020-08-09;pomorskie;217;0
2020;31;2020-08-03;7;2020-08-09;warmińsko-mazurskie;106;0
2020;31;2020-08-03;7;2020-08-09;wielkopolskie;541;7
2020;31;2020-08-03;7;2020-08-09;zachodniopomorskie;116;0
2020;31;2020-08-03;7;2020-08-09;łódzkie;234;8
2020;31;2020-08-03;7;2020-08-09;śląskie;1273;19
2020;31;2020-08-03;7;2020-08-09;świętokrzyskie;102;1
2020;32;2020-08-10;7;2020-08-16;Polska;4893;70
2020;32;2020-08-10;7;2020-08-16;dolnośląskie;188;2
2020;32;2020-08-10;7;2020-08-16;kujawsko-pomorskie;113;1
2020;32;2020-08-10;7;2020-08-16;lubelskie;149;2
2020;32;2020-08-10;7;2020-08-16;lubuskie;57;0
2020;32;2020-08-10;7;2020-08-16;mazowieckie;639;3
2020;32;2020-08-10;7;2020-08-16;małopolskie;966;15
2020;32;2020-08-10;7;2020-08-16;opolskie;102;1
2020;32;2020-08-10;7;2020-08-16;podkarpackie;234;6
2020;32;2020-08-10;7;2020-08-16;podlaskie;79;2
2020;32;2020-08-10;7;2020-08-16;pomorskie;414;1
2020;32;2020-08-10;7;2020-08-16;warmińsko-mazurskie;122;1
2020;32;2020-08-10;7;2020-08-16;wielkopolskie;350;7
2020;32;2020-08-10;7;2020-08-16;zachodniopomorskie;104;0
2020;32;2020-08-10;7;2020-08-16;łódzkie;330;8
2020;32;2020-08-10;7;2020-08-16;śląskie;953;20
2020;32;2020-08-10;7;2020-08-16;świętokrzyskie;93;1
2020;33;2020-08-17;7;2020-08-23;Polska;5078;78
2020;33;2020-08-17;7;2020-08-23;dolnośląskie;187;1
2020;33;2020-08-17;7;2020-08-23;kujawsko-pomorskie;138;0
2020;33;2020-08-17;7;2020-08-23;lubelskie;125;1
2020;33;2020-08-17;7;2020-08-23;lubuskie;48;1
2020;33;2020-08-17;7;2020-08-23;mazowieckie;779;8
2020;33;2020-08-17;7;2020-08-23;małopolskie;952;13
2020;33;2020-08-17;7;2020-08-23;opolskie;117;1
2020;33;2020-08-17;7;2020-08-23;podkarpackie;258;4
2020;33;2020-08-17;7;2020-08-23;podlaskie;54;3
2020;33;2020-08-17;7;2020-08-23;pomorskie;471;4
2020;33;2020-08-17;7;2020-08-23;warmińsko-mazurskie;126;2
2020;33;2020-08-17;7;2020-08-23;wielkopolskie;399;5
2020;33;2020-08-17;7;2020-08-23;zachodniopomorskie;-934;-21
2020;33;2020-08-17;7;2020-08-23;łódzkie;356;3
2020;33;2020-08-17;7;2020-08-23;śląskie;915;26
2020;33;2020-08-17;7;2020-08-23;świętokrzyskie;78;2
2020;34;2020-08-24;7;2020-08-30;Polska;5108;78
2020;34;2020-08-24;7;2020-08-30;dolnośląskie;191;5
2020;34;2020-08-24;7;2020-08-30;kujawsko-pomorskie;187;3
2020;34;2020-08-24;7;2020-08-30;lubelskie;182;1
2020;34;2020-08-24;7;2020-08-30;lubuskie;60;1
2020;34;2020-08-24;7;2020-08-30;mazowieckie;683;7
2020;34;2020-08-24;7;2020-08-30;małopolskie;973;19
2020;34;2020-08-24;7;2020-08-30;opolskie;84;0
2020;34;2020-08-24;7;2020-08-30;podkarpackie;304;3
2020;34;2020-08-24;7;2020-08-30;podlaskie;94;1
2020;34;2020-08-24;7;2020-08-30;pomorskie;424;0
2020;34;2020-08-24;7;2020-08-30;warmińsko-mazurskie;150;4
2020;34;2020-08-24;7;2020-08-30;wielkopolskie;527;7
2020;34;2020-08-24;7;2020-08-30;zachodniopomorskie;74;0
2020;34;2020-08-24;7;2020-08-30;łódzkie;308;9
2020;34;2020-08-24;7;2020-08-30;śląskie;704;17
2020;34;2020-08-24;7;2020-08-30;świętokrzyskie;163;1
2020;35;2020-08-31;7;2020-09-06;Polska;3954;87
2020;35;2020-08-31;7;2020-09-06;dolnośląskie;140;2
2020;35;2020-08-31;7;2020-09-06;kujawsko-pomorskie;147;0
2020;35;2020-08-31;7;2020-09-06;lubelskie;145;1
2020;35;2020-08-31;7;2020-09-06;lubuskie;62;1
2020;35;2020-08-31;7;2020-09-06;mazowieckie;638;7
2020;35;2020-08-31;7;2020-09-06;małopolskie;759;21
2020;35;2020-08-31;7;2020-09-06;opolskie;95;4
2020;35;2020-08-31;7;2020-09-06;podkarpackie;319;8
2020;35;2020-08-31;7;2020-09-06;podlaskie;69;2
2020;35;2020-08-31;7;2020-09-06;pomorskie;323;5
2020;35;2020-08-31;7;2020-09-06;warmińsko-mazurskie;89;0
2020;35;2020-08-31;7;2020-09-06;wielkopolskie;348;5
2020;35;2020-08-31;7;2020-09-06;zachodniopomorskie;58;1
2020;35;2020-08-31;7;2020-09-06;łódzkie;239;4
2020;35;2020-08-31;7;2020-09-06;śląskie;401;24
2020;35;2020-08-31;7;2020-09-06;świętokrzyskie;122;2
2020;36;2020-09-07;7;2020-09-13;Polska;3328;68
