"","CodeM49","Area","Item","Element","YearCode","Unit","Value","X"
"227","152","Chile","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3154,NA
"228","268","Georgia","Population","TotalPop",2010,"1000 persons",4099,NA
"229","191","Croatia","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",2971,NA
"230","222","El Salvador","Population","TotalPop",2020,"1000 persons",6486.2,NA
"231","072","Botswana","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",72.56,NA
"232","159","China","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3337,NA
"233","050","Bangladesh","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",61.42,NA
"234","076","Brazil","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",92.43,NA
"235","233","Estonia","Population","TotalPop",2020,"1000 persons",1326.54,NA
"236","192","Cuba","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3259,NA
"237","276","Germany","Population","TotalPop",2010,"1000 persons",83017,NA
"238","344","China  Hong Kong SAR","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3199,NA
"239","446","China  Macao SAR","Grand Total","FoodS (kcal/c/d)",2020,"kcal/c/d",3120,NA
"240","100","Bulgaria","Grand Total","ProtSQ (g/c/d)",2010,"g/c/d",80.4,NA
"241","288","Ghana","Population","TotalPop",2010,"1000 persons",24780,NA
"242","196","Cyprus","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3041,NA
"243","748","Eswatini","Population","TotalPop",2020,"1000 persons",1160.16,NA
"244","052","Barbados","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",87.82,NA
"245","203","Czechia","Grand Total","FoodS (kcal/c/d)",2010,"kcal/c/d",3276,NA
"246","231","Ethiopia","Population","TotalPop",2020,"1000 persons",114963.59,NA
"247","300","Greece","Population","TotalPop",2010,"1000 persons",11110,NA
"248","112","Belarus","Grand Total","ProtSQ (g/c/d)",2020,"g/c/d",103.86,NA
